SZU,Charge_Point,Charge_Point_2
Coffs Harbour,"30° 15'0""S","153° 2'30""E"
Cohuna,"35° 50'10""S","144° 15'0""E"
Colac,"38° 21'0""S","143° 36'0""E"
Colane,"31° 17'30""S","147° 19'30""E"
Colbinabbin,"36° 35'30""S","144° 43'30""E"
Coleambally,"34° 46'5""S","145° 55'30""E"
Colebatch,"36° 1'0""S","139° 48'0""E"
Colebrook,"42° 33'0""S","147° 24'0""E"
Coleraine,"37° 33'30""S","141° 44'0""E"
Collarenebri,"29° 32'25""S","148° 32'45""E"
Collie (NSW),"31° 39'50""S","148° 19'0""E"
Collie (WA),"33° 24'30""S","116° 7'0""E"
Collinsville,"20° 35'0""S","147° 53'0""E"
Collurabbie (Ext),"27° 52'0""S","121° 57'0""E"
Colo Heights,"33° 24'0""S","150° 47'30""E"
Colston Park,"21° 27'0""S","149° 1'0""E"
Comara,"30° 50'45""S","152° 27'0""E"
Combienbar,"37° 27'30""S","149° 0'30""E"
Comboyne,"31° 41'0""S","152° 21'40""E"
Comet,"23° 34'30""S","148° 26'0""E"
Conargo,"35° 21'0""S","145° 5'0""E"
Condamine,"26° 52'30""S","150° 9'30""E"
Condingup,"33° 44'30""S","122° 33'30""E"
Condobolin,"33° 2'0""S","147° 6'0""E"
Congee,"33° 29'30""S","117° 34'30""E"
Conmurra,"37° 8'0""S","140° 18'30""E"
Connors Range (Ext),"21° 26'0""S","148° 35'0""E"
Coober Pedy,"29° 1'0""S","134° 45'0""E"
Coojar,"37° 24'30""S","141° 36'30""E"
Cooktown,"15° 28'30""S","145° 3'0""E"
Coolabah,"31° 5'30""S","146° 48'30""E"
Coolac,"34° 51'30""S","148° 16'0""E"
Coolah,"31° 54'0""S","149° 44'0""E"
Coolamon,"34° 51'10""S","147° 19'35""E"
Coolatai,"29° 15'0""S","150° 47'30""E"
Cooma,"36° 11'30""S","149° 7'30""E"
Coomalbidgup,"33° 36'30""S","121° 27'30""E"
Coomallo,"30° 14'0""S","115° 20'0""E"
Coomberdale,"30° 26'30""S","116° 1'0""E"
Coominya,"27° 23'0""S","152° 23'50""E"
Coonabarabran,"31° 19'30""S","149° 17'0""E"
Coonalpyn,"35° 49'0""S","139° 47'0""E"
Coonamble,"30° 56'0""S","148° 21'30""E"
Coonawarra,"37° 16'30""S","140° 49'30""E"
Coondarra,"26° 9'30""S","150° 36'0""E"
Coopernook,"31° 43'0""S","152° 37'0""E"
Coorabie,"31° 29'0""S","131° 57'0""E"
Coorow,"29° 50'0""S","116° 6'0""E"
Coorow West,"29° 55'0""S","115° 50'30""E"
Cooroy,"26° 28'30""S","152° 53'0""E"
Cootamundra,"34° 40'0""S","148° 4'45""E"
Cooyar,"27° 1'0""S","151° 53'30""E"
Copeton Dam,"29° 51'0""S","150° 50'0""E"
Copeville,"34° 45'30""S","139° 55'30""E"
Copmanhurst,"29° 29'20""S","152° 41'0""E"
Coppabella,"35° 44'0""S","147° 34'0""E"
Corackerup,"34° 6'30""S","118° 39'30""E"
Cornalla,"35° 43'30""S","145° 6'0""E"
Corowa,"36° 3'0""S","146° 25'0""E"
Corrigin,"32° 21'30""S","117° 59'0""E"
Corrigin West,"32° 11'0""S","117° 48'30""E"
Corryong,"36° 7'25""S","147° 52'40""E"
Cottonvale,"28° 30'30""S","151° 54'0""E"
Coulta,"34° 24'0""S","135° 28'0""E"
Courela,"32° 30'52""S","134° 24'50""E"
Coutts Crossing,"29° 54'0""S","152° 53'30""E"
Cowabbie,"34° 39'0""S","146° 57'30""E"
Cowangie,"35° 13'30""S","141° 30'30""E"
Cowell,"33° 40'30""S","136° 54'30""E"
Cowes,"38° 29'0""S","145° 15'0""E"
Cowra,"33° 49'30""S","148° 42'0""E"
Cracow,"25° 10'0""S","150° 10'0""E"
Craigieburn,"37° 49'0""S","144° 57'0""E"
Craigleigh,"30° 7'10""S","150° 53'45""E"
Cranbourne,"38° 8'30""S","145° 20'0""E"
Cranbrook,"34° 11'50""S","117° 32'0""E"
Creightons Creek,"36° 53'30""S","145° 34'30""E"
Cressy,"38° 1'0""S","143° 38'30""E"
Creswick,"37° 20'0""S","143° 54'30""E"
Crookwell,"34° 25'30""S","149° 32'10""E"
Croppa Creek,"29° 8'40""S","150° 11'0""E"
Crossdale,"27° 16'30""S","152° 37'30""E"
Crows Nest,"27° 10'30""S","152° 3'30""E"
Croydon,"37° 49'0""S","145° 21'0""E"
Croydon (QLD),"18° 2'0""S","140° 21'0""E"
Crymelon,"36° 7'0""S","142° 10'30""E"
Crystal Brook,"33° 19'0""S","138° 12'30""E"
Cuballing,"32° 46'0""S","117° 9'0""E"
Cudal,"33° 23'30""S","148° 46'30""E"
Cudgewa,"36° 10'40""S","147° 40'0""E"
Cue,"28° 18'0""S","118° 21'0""E"
Culburra,"35° 43'0""S","139° 58'0""E"
Culcairn,"35° 39'30""S","146° 59'30""E"
Culgoa (Ext) (QLD),"28° 45'0""S","147° 51'0""E"
Culgoa (VIC),"35° 45'30""S","143° 12'0""E"
Cumborah,"29° 45'0""S","147° 51'30""E"
Cummins,"34° 19'30""S","135° 45'30""E"
Cumnock,"32° 50'30""S","148° 47'0""E"
Cunderdin,"31° 41'30""S","117° 13'15""E"
Cunderdin North,"31° 26'30""S","117° 11'30""E"
Cundinup,"33° 45'50""S","115° 44'0""E"
Cunnamulla,"28° 4'30""S","145° 41'30""E"
Cunningham,"28° 11'30""S","151° 45'0""E"
Cunninyeuk,"35° 19'0""S","143° 54'0""E"
Curban,"31° 29'30""S","148° 38'0""E"
Curlewis,"31° 15'30""S","150° 10'0""E"
Currabubula,"31° 20'0""S","150° 45'30""E"
Curramulka,"34° 46'0""S","137° 45'0""E"
Currawarna,"34° 59'50""S","147° 6'0""E"
Currie,"40° 0'30""S","143° 59'45""E"
Curyo,"35° 50'30""S","142° 46'25""E"
Cuttabri,"30° 21'30""S","149° 13'30""E"
Cuttaburra (Ext),"29° 56'0""S","144° 33'0""E"
Dadswells Bridge,"36° 52'0""S","142° 33'45""E"
Daintree,"16° 18'0""S","145° 20'0""E"
Dalbeg,"20° 11'30""S","147° 20'30""E"
Dalby,"27° 10'40""S","151° 19'45""E"
Dale River,"32° 15'0""S","116° 47'30""E"
Dalgety,"36° 29'0""S","148° 50'30""E"
Dalwallinu,"30° 18'0""S","116° 45'0""E"
Dalwallinu West,"30° 24'0""S","116° 32'30""E"
Daly (Ext),"13° 52'0""S","130° 39'0""E"
Dampier,"20° 47'30""S","116° 40'0""E"
Dandaloo,"32° 16'30""S","147° 43'30""E"
Dandaragan,"30° 40'30""S","115° 46'0""E"
Dandenong,"38° 2'15""S","145° 14'40""E"
Dangin,"32° 6'10""S","117° 15'5""E"
Dardanup,"33° 24'0""S","115° 52'0""E"
Dargo,"37°30'30""S ","147°10'15""E"
Darkan,"33° 25'30""S","116° 33'15""E"
Darke Peak,"33° 27'0""S","136° 12'30""E"
Darlington,"38° 1'45""S","143° 9'45""E"
Darlington Point,"34° 29'30""S","145° 59'30""E"
Darr Creek,"26° 36'30""S","151° 2'30""E"
Dartmoor,"37° 59'0""S","141° 15'30""E"
Dartmouth,"36° 31'30""S","147° 29'0""E"
Darwin,"12° 24'30""S","130° 56'30""E"
Davenport (Ext),"20° 17'0""S","133° 48'0""E"
Dayboro,"27° 9'30""S","152° 47'0""E"
Daylesford,"37° 21'0""S","144° 11'15""E"
De Grey (Ext),"20° 42'0""S","119° 32'0""E"
Deepwater,"29° 27'0""S","151° 58'30""E"
Delegate,"37° 0'35""S","148° 57'50""E"
Deloraine,"41° 31'30""S","146° 40'10""E"
Delungra,"29° 37'0""S","150° 50'0""E"
Denbarker,"34° 44'0""S","117° 30'30""E"
Denham,"24° 48'0""S","114° 25'30""E"
Deniliquin,"35° 32'30""S","144° 53'0""E"
Denman,"32° 24'25""S","150° 40'5""E"
Denmark,"34° 55'30""S","117° 24'0""E"
Derby,"17° 18'30""S","123° 37'30""E"
Derrinallum,"37° 51'30""S","143° 12'0""E"
Devlins Bridge,"37° 22'40""S","145° 28'0""E"
Devonport,"41° 14'30""S","146° 24'0""E"
Diamantina (Ext),"21° 52'0""S","142° 34'0""E"
Diamondy,"26° 46'0""S","151° 16'0""E"
Dimboola,"36° 25'10""S","142° 8'0""E"
Dimbulah,"17° 13'0""S","145° 4'0""E"
Dingee,"36° 23'30""S","144° 13'30""E"
Dingo,"23° 38'0""S","149° 35'0""E"
Dingo Beach,"20° 10'0""S","148° 33'30""E"
Dinner Plain,"37° 1'0""S","147° 14'0""E"
Dinninup,"33° 53'0""S","116° 35'30""E"
Dinninup North,"33° 42'0""S","116° 34'0""E"
Dirranbandi,"28° 36'30""S","148° 20'30""E"
Dolo (Ext),"31° 33'0""S","143° 12'0""E"
Donald,"36° 23'30""S","143° 1'0""E"
Dongara,"29° 6'25""S","115° 1'30""E"
Dongolocking,"33° 10'20""S","117° 45'0""E"
Donnybrook,"33° 35'0""S","115° 48'30""E"
Dookie,"36° 24'0""S","145° 39'0""E"
Doomadgee,"20° 35'0""S","138° 57'0""E"
Dorodong,"37° 21'0""S","141° 5'0""E"
Dorrigo,"30° 19'35""S","152° 39'0""E"
Double Peaks (Ext),"32° 46'0""S","145° 59'0""E"
Dover,"43° 22'30""S","146° 57'0""E"
Dowerin,"31° 8'0""S","117° 3'0""E"
Drake,"28° 58'0""S","152° 18'30""E"
Duaringa,"23° 38'0""S","149° 35'0""E"
Dubbo,"32° 11'30""S","148° 37'0""E"
Dudinin,"32° 44'30""S","117° 59'30""E"
Dukin,"30° 57'0""S","117° 22'0""E"
Dulacca,"26° 34'0""S","149° 53'30""E"
Dulyalbin,"31° 26'30""S","119° 13'30""E"
Dumbleyung,"33° 20'0""S","117° 46'0""E"
Dunalley,"42° 50'0""S","147° 48'0""E"
Dundas (Ext),"32° 10'0""S","121° 8'0""E"
Dundonnell,"37° 54'30""S","142° 59'0""E"
Dunedoo,"32° 1'0""S","149° 22'0""E"
Dungog,"32° 27'0""S","151° 42'30""E"
Dunkeld,"37° 39'0""S","142° 19'0""E"
Dunmore,"27° 42'30""S","151° 8'20""E"
Dunolly,"36° 53'30""S","143° 48'30""E"
Dunwich,"27° 28'10""S","153° 26'15""E"
Dural,"33° 37'30""S","151° 1'0""E"
Durham Downs,"26° 20'30""S","148° 58'30""E"
Dwellingup,"32° 35'30""S","116° 7'30""E"
Dyraaba,"28° 45'30""S","152° 54'0""E"
Dysart,"22° 23'30""S","148° 16'30""E"
East Gresford,"32° 30'0""S","151° 32'0""E"
Ebor,"30° 28'30""S","152° 19'0""E"
Eccleston,"32° 17'30""S","151° 28'45""E"
Echuca,"36° 6'0""S","144° 45'0""E"
Ecklin,"38° 18'45""S","142° 51'30""E"
Eddington (Ext),"20° 20'0""S","141° 45'0""E"
Eden,"37° 3'55""S","149° 43'0""E"
Edenhope,"37° 5'0""S","141° 22'0""E"
Edward River,"14° 16'0""S","142° 59'0""E"
Egansford,"34° 42'30""S","146° 9'30""E"
Eidsvold,"25° 23'0""S","151° 11'0""E"
Eildon,"37° 13'0""S","145° 57'30""E"
Ejanding,"30° 56'30""S","117° 1'0""E"
Elbow Valley,"28° 24'5""S","152° 4'30""E"
Elcombe,"29° 45'30""S","150° 24'0""E"
Ellenborough,"31° 21'0""S","152° 31'0""E"
Ellerston,"31° 52'30""S","151° 10'0""E"
Elliott (NT),"18° 24'0""S","134° 9'0""E"
Elliston,"33° 34'0""S","134° 59'10""E"
Elmhurst,"37° 9'30""S","143° 12'0""E"
Elmore,"36° 28'30""S","144° 32'0""E"
Eltham,"37° 49'0""S","144° 57'0""E"
Emerald (QLD),"23° 31'30""S","148° 10'0""E"
Emerald (VIC),"37° 49'0""S","145° 30'30""E"
Emita,"39° 56'0""S","148° 2'0""E"
Emmaville,"29° 27'0""S","151° 44'0""E"
Eneabba,"29° 44'30""S","115° 22'0""E"
Eneabba North,"29° 34'0""S","115° 29'30""E"
Eneabba South,"29° 57'0""S","115° 14'30""E"
Engadine,"34° 4'30""S","151° 0'0""E"
Ensay,"37° 27'0""S","147° 53'0""E"
Erica,"38° 1'0""S","146° 26'30""E"
Eschol,"26° 49'0""S","150° 56'0""E"
Esk,"27° 13'50""S","152° 26'0""E"
Eskdale,"36° 25'0""S","147° 15'0""E"
Esperance,"33° 47'0""S","121° 47'0""E"
Etheridge (Ext),"18° 21'0""S","143° 42'0""E"
Ettrick,"28° 37'10""S","152° 51'30""E"
Euchareena,"33° 1'30""S","149° 7'0""E"
Eucumbene,"36° 9'0""S","148° 42'0""E"
Eudunda,"34° 9'30""S","139° 3'0""E"
Eugowra,"33° 28'0""S","148° 25'0""E"
Euramo,"18° 8'0""S","145° 57'30""E"
Euroa,"36° 41'50""S","145° 32'0""E"
Evandale,"41° 43'0""S","147° 17'0""E"
Everard (Ext),"27° 45'0""S","133° 30'0""E"
Exeter,"41° 15'30""S","147° 0'30""E"
Exmouth,"22° 8'30""S","114° 4'0""E"
Eyre (Ext),"32° 16'0""S","124° 16'0""E"
Fairholme,"33° 10'5""S","147° 23'10""E"
Falls Creek,"36° 52'0""S","147° 16'0""E"
Farnsfield,"25° 2'0""S","152° 20'0""E"
Farrendale,"32° 16'0""S","147° 56'0""E"
Finch Hatton,"21° 9'0""S","148° 34'30""E"
Fingal,"41° 41'0""S","147° 56'30""E"
Finley,"35° 39'0""S","145° 34'30""E"
Fitzgerald,"33° 49'0""S","119° 16'50""E"
Fitzroy Crossing,"17° 32'0""S","125° 24'0""E"
Fitzroy West (Ext),"23° 38'0""S","149° 35'0""E"
Flinders (Ext),"20° 18'0""S","142° 57'0""E"
Flowerdale,"37° 21'0""S","145° 12'30""E"
Forbes,"33° 28'30""S","148° 1'30""E"
Forster,"32° 9'30""S","152° 25'0""E"
Foster,"38° 40'30""S","146° 11'30""E"
Frances,"36° 46'0""S","140° 51'30""E"
Fraser Island,"25° 17'0""S","153° 2'30""E"
Frazers Creek,"29° 12'0""S","151° 3'0""E"
Freeling,"34° 30'45""S","138° 47'0""E"
Freestone,"28° 3'30""S","152° 13'0""E"
Fremantle,"31° 57'30""S","115° 51'0""E"
Frogmore,"34° 11'0""S","148° 45'30""E"
Frome (Ext),"29° 25'0""S","139° 9'0""E"
Gabbin,"30° 45'30""S","117° 37'30""E"
Gabbin North,"30° 35'0""S","117° 38'0""E"
Gaeta,"24° 50'0""S","151° 40'30""E"
Gairdner (Ext) (SA),"30° 28'0""S","135° 58'0""E"
Gairdner (WA),"34° 7'30""S","118° 53'0""E"
Gala Vale,"34° 59'30""S","145° 51'30""E"
Galilee (Ext),"22° 38'0""S","145° 28'0""E"
Galong,"34° 35'30""S","148° 34'20""E"
Galore,"35° 2'10""S","146° 54'0""E"
Ganmain,"34° 49'30""S","147° 2'0""E"
Garah,"29° 11'0""S","149° 41'30""E"
Gargett,"21° 8'0""S","148° 48'30""E"
Garnant,"23° 13'0""S","150° 14'0""E"
Gatton,"27° 39'0""S","152° 13'30""E"
Gawler,"34° 37'30""S","138° 46'0""E"
Gayfield,"24° 9'0""S","150° 44'11""E"
Gayndah,"25° 41'0""S","151° 29'0""E"
Gearys Gap,"35° 5'0""S","149° 27'0""E"
Geelong,"38° 6'30""S","144° 19'0""E"
Geeveston,"43° 11'30""S","147° 3'0""E"
Gelantipy,"37° 18'0""S","148° 18'30""E"
Gemfields,"23° 27'39""S","147° 43'5""E"
Genoa,"37° 26'30""S","149° 30'30""E"
George Town,"41° 5'30""S","147° 0'30""E"
Georgetown,"33° 24'0""S","138° 28'30""E"
Georgetown (QLD),"18° 21'0""S","143° 42'0""E"
Georgina (Ext),"23° 49'0""S","139° 47'0""E"
Geraldton,"28° 45'30""S","114° 42'0""E"
Gerang Gerung,"36° 25'30""S","141° 56'0""E"
Geranium,"35° 25'0""S","140° 11'0""E"
Gerogery,"35° 53'30""S","147° 4'30""E"
Geurie,"32° 23'35""S","148° 44'45""E"
Gibson,"33° 34'5""S","121° 47'0""E"
Gidgegannup,"31° 40'30""S","116° 11'0""E"
Gilgandra,"31° 41'0""S","148° 38'30""E"
Gilgooma,"30° 45'30""S","148° 35'30""E"
Gillingarra,"30° 53'30""S","116° 2'30""E"
Gin Gin,"25° 0'30""S","152° 3'30""E"
Ginghet,"30° 35'20""S","147° 35'30""E"
Gingin,"31° 18'20""S","115° 50'40""E"
Gingkin,"33° 56'0""S","149° 52'0""E"
Girilambone,"31° 19'0""S","146° 53'0""E"
Giru,"19° 30'30""S","147° 6'30""E"
Gisborne,"37° 30'0""S","144° 35'10""E"
Gladstone (QLD),"23° 53'30""S","151° 13'0""E"
Gladstone (SA),"33° 15'0""S","138° 22'30""E"
Gladstone (TAS),"41° 1'0""S","147° 56'30""E"
Glen Davis,"33° 2'30""S","150° 10'0""E"
Glen Elgin,"29° 39'30""S","152° 9'0""E"
Glen Innes,"29° 42'40""S","151° 47'0""E"
Glencoe,"29° 58'30""S","151° 48'0""E"
Glendambo,"30° 28'0""S","135° 58'0""E"
Glenden,"21° 26'0""S","148° 35'0""E"
Glendonbrook,"32° 28'0""S","151° 20'0""E"
Glengarry,"41° 19'30""S","146° 50'0""E"
Glenhope,"26° 52'30""S","150° 35'0""E"
Glenisla,"37° 10'0""S","142° 12'30""E"
Glenorchy,"36° 51'40""S","142° 45'0""E"
Glenreagh,"30° 1'0""S","153° 5'30""E"
Glenthompson,"37° 38'0""S","142° 30'0""E"
Gloucester,"32° 1'0""S","152° 3'0""E"
Gnowangerup,"33° 58'0""S","118° 1'30""E"
Gnowellen,"34° 23'0""S","118° 33'5""E"
Golden Beach,"38° 15'30""S","147° 15'0""E"
Goldfields (Ext),"30° 25'30""S","121° 7'30""E"
Gollan,"32° 23'45""S","149° 4'10""E"
Golspie,"34° 13'0""S","149° 44'30""E"
Goodlands,"30° 8'30""S","117° 19'30""E"
Goodooga,"29° 7'30""S","147° 27'30""E"
Goolgowi,"34° 2'0""S","145° 48'0""E"
Goolhi,"30° 52'30""S","149° 49'30""E"
Gooloogong,"33° 38'30""S","148° 24'30""E"
Goolwa,"35°26'30""S ","138°46'0""E"
Goomalling,"31° 15'0""S","116° 46'30""E"
Goomarin,"31° 12'0""S","118° 24'0""E"
Goombi,"26° 41'30""S","150° 30'30""E"
Goombungee,"27° 22'0""S","151° 54'0""E"
Goondiwindi,"28° 35'30""S","150° 18'0""E"
Goongerah,"37° 22'30""S","148° 39'30""E"
Goorianawa,"31° 7'30""S","148° 57'0""E"
Goornong,"36° 39'0""S","144° 29'0""E"
Gooroolba,"25° 40'30""S","151° 43'30""E"
Goovigen,"24° 9'30""S","150° 20'0""E"
Gordon (Ext),"42°32'0""S ","145°36'0""E"
Gordonvale,"17° 5'30""S","145° 50'0""E"
Gormandale,"38° 20'0""S","146° 36'0""E"
Goroke,"36° 45'30""S","141° 32'0""E"
Gosford,"33° 28'0""S","151° 18'30""E"
Goulburn,"34° 42'30""S","149° 42'30""E"
Gowar East,"36° 30'0""S","143° 21'0""E"
Grafton,"29° 41'0""S","152° 59'0""E"
Graman,"29° 28'30""S","151° 5'0""E"
Grass Patch,"33° 13'30""S","121° 42'30""E"
Grawin,"29° 28'30""S","147° 47'30""E"
Graytown,"36° 54'0""S","145° 1'0""E"
Great Bight (Ext),"31° 29'0""S","131° 57'0""E"
Great Sandy (Ext),"22° 0'0""S","126° 0'0""E"
Great Victoria (Ext),"28° 0'0""S","127° 0'0""E"
Greenethorpe,"34° 0'0""S","148° 20'0""E"
Greenmount,"27° 46'30""S","152° 0'30""E"
Greenvale,"19° 12'0""S","145° 26'30""E"
Greenways,"37° 19'0""S","140° 16'0""E"
Grenfell,"33° 49'30""S","148° 11'50""E"
Gretna,"42° 36'30""S","146° 53'30""E"
Griffith,"34° 16'30""S","146° 2'30""E"
Grong Grong,"34° 41'30""S","146° 44'0""E"
Guilderton,"31° 17'0""S","115° 35'30""E"
Gulargambone,"31° 17'0""S","148° 29'0""E"
Gulf (Ext),"18° 2'0""S","140° 21'0""E"
Gulgong,"32° 23'30""S","149° 24'0""E"
Guluguba,"26° 15'35""S","150° 2'47""E"
Gumlu,"19° 54'0""S","147° 41'0""E"
Gunalda,"25° 57'10""S","152° 42'50""E"
Gunbar,"34° 1'0""S","145° 24'0""E"
Gunbower,"36° 1'0""S","144° 30'0""E"
Gundabloui,"29° 13'0""S","148° 45'30""E"
Gundagai,"35° 6'0""S","148° 9'0""E"
Gundaroo,"35° 1'30""S","149° 13'0""E"
Gundillion,"35° 37'0""S","149° 40'30""E"
Gunnedah,"31° 0'0""S","150° 14'30""E"
Gunning,"34° 49'0""S","149° 12'30""E"
Gunpowder,"20° 35'0""S","138° 57'0""E"
Gununa,"16° 35'0""S","139° 26'0""E"
Gunyerwarildi,"29° 15'0""S","150° 32'30""E"
Guranu,"29° 6'30""S","115° 39'30""E"
Gurley,"29° 41'50""S","149° 57'0""E"
Gurrai,"35° 5'0""S","140° 35'0""E"
Gutha West,"28° 56'30""S","115° 50'0""E"
Guyra,"30° 18'30""S","151° 45'0""E"
Gwabegar,"30° 43'30""S","149° 2'30""E"
Gympie,"26° 13'30""S","152° 40'30""E"
Haddon (Ext),"26° 21'0""S","142° 54'0""E"
Haden,"27° 12'0""S","151° 51'30""E"
Halbury,"34° 3'0""S","138° 28'0""E"
Halidon,"34° 51'0""S","140° 6'30""E"
Halifax,"18° 37'0""S","146° 14'50""E"
Hallett,"33° 25'30""S","138° 48'0""E"
Halls Creek,"30° 46'30""S","150° 53'30""E"
Hall's Creek (WA),"17° 45'30""S","127° 55'45""E"
Halls Gap,"37° 8'10""S","142° 38'50""E"
Hamilton,"37° 44'0""S","142° 3'0""E"
Hamley Bridge,"34° 20'30""S","138° 41'0""E"
Hampton,"33° 41'0""S","150° 5'0""E"
Harcourt,"37° 0'30""S","144° 19'0""E"
Harden,"34° 34'0""S","148° 21'30""E"
Harrietville,"36° 55'0""S","147° 7'0""E"
Harrismith,"32° 54'0""S","117° 43'0""E"
Harrisville,"27° 45'30""S","152° 43'0""E"
Harrow,"37° 11'30""S","141° 36'0""E"
Hartley,"35° 10'30""S","138° 56'30""E"
